item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
236168861503,Jerry Rice 1991 Fleer All-Pro '91 #20 San Francisco 49ers,1.7,3.09,1.75,1.75,22,Browse BIN | Browse (Merged) | Active median P1,
236168861504,Barry Sanders 1995 Score #208 Detroit Lions,1.69,2.87,1.98,1.99,21,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236168861505,Jerry Rice 1995 Pinnacle Club Collection #198 San Francisco 49ers,1.85,2.49,1.9,1.9,21,Browse BIN | Browse (Merged) | Active median P1,
236168861506,Jerry Rice 1995 SkyBox Impact Super Bowl XXIX #131 San Francisco 49ers,1.95,,,,0,No solds | No actives | No data,
236168861507,Barry Sanders 1991 Pacific #144 Detroit Lions,1.99,3.0,1.69,1.69,24,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236168861508,Barry Sanders 2001 Donruss Elite #30 Detroit Lions,2.0,,1.98,1.99,14,Browse BIN | Browse (Merged) | Active median P1,
236168861509,Jerry Rice 1992 Upper Deck #616 San Francisco 49ers,1.6,1.85,1.75,1.75,19,Browse BIN | Browse (Merged) | Active median P1,
236168861510,Jerry Rice 2022 Panini Select Draft Picks Gold Lazer Prizm #148 Delta Devils,4.5,,2.0,2.7,4,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236168861511,Barry Sanders 1991 Upper Deck Game Breakers #GB1 Detroit Lions,1.85,1.99,1.98,1.99,21,Browse BIN | Browse (Merged) | Active median P1,
236168861512,Jerry Rice 1996 Stadium Club #160 San Francisco 49ers,1.9,2.25,1.95,1.95,18,Browse BIN | Browse (Merged) | Active median P1,
236168861513,Barry Sanders 1995 Topps #1 Detroit Lions,1.99,,1.95,1.95,18,Browse BIN | Browse (Merged) | Active median P1,
236168861514,Dan Marino John Elway Emmitt Smith Brett Favre Jerry Rice 1996 Score #275,1.95,2.99,1.95,1.95,4,Browse BIN | Browse (Merged) | Active median P1,
236168861515,Jerry Rice 1995 Upper Deck #44 San Francisco 49ers,1.85,2.85,1.93,1.95,24,Browse BIN | Browse (Merged) | Active median P1,
236168861516,Superbowl MVP's (Jerry Rice / Joe Montana) 1990 Fleer #397 San Francisco 49ers,1.75,3.5,1.75,1.75,15,Browse BIN | Browse (Merged) | Active median P1,
236168861517,Jerry Rice 1996 Collector's Choice #374 San Francisco 49ers,1.75,1.97,1.93,1.95,20,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236168861518,Jerry Rice / Darnay Scott 1995 SkyBox Premium #151,1.65,,,,0,No solds | No actives | No data,
